Experiment,Recall@20,NDCG@20,Precision@20,Best Epoch
Baseline,0.10033914171293067,0.04459488218776771,0.0053106916118883084,12
Activity Only,0.10033602043895147,0.044576278871622105,0.005309287038597675,12
Epoch Only,0.0996848446550435,0.04448177502921761,0.005274172706331816,12
Popularity Only,0.09988471651060216,0.044491697354850895,0.005282600146075625,13
Activity + Epoch,0.100152612150453,0.04452823355204409,0.005289623012528793,13
Activity + Popularity,0.10031378136184976,0.044611865763810946,0.00530788246530704,12
Epoch + Popularity,0.09975507331957523,0.04454186293801478,0.0052783864262037185,12
Full Adaptive (0.15),0.10031647903436033,0.044575857128122655,0.0052994550255632345,13
Full Adaptive (0.10),0.09983989393995962,0.04445943599220067,0.005278386426203719,12
Full Adaptive (0.20),0.10007359932915129,0.04449099899225766,0.005288218439238162,13
